title,original_title,budget,genre,language,spoken_languages,homepage,overview,popularity,runtime,revenue,release_date,vote_average,vote_count,production_countries
Young Hearts,Young Hearts,0,"Drama, Family",nl,"Dutch, French",https://www.polar-bear.tv/young-hearts,"Fourteen-year-old Elias increasingly feels like an outsider in his village. When he meets his new neighbour of the same age, Alexander, Elias is confronted with his burgeoning sexuality.",21.851,97,0,2024-10-10,0.0,0,"Belgium, Netherlands"
Little Fish,Little Fish,0,"Romance, Science Fiction, Drama",en,English,https://www.littlefish.movie,A couple fights to hold their relationship together as a memory loss virus spreads and threatens to erase the history of their love and courtship.,14.144,101,39053,2021-02-05,7.0,185,"Canada, United States of America"
Two of Us,Two of Us,0,"Drama, Thriller",tl,Tagalog,,"Empress Schuck and Ejay Falcon star in this psychological thriller as two people who find each other while trying to make a living in a foreign country. But as time passes, underneath the sweet moments lie a toxic relationship that sparks violent tendencies.",0.645,103,0,2024-04-10,0.0,0,Philippines
Atlantis,Atlantis,0,"Music, Documentary",fr,French,,"Atmospheric soundtrack follows this compilation of nature footage that focuses on the ocean and various life forms that live, mate and die in it.",11.68,74,138,1991-08-21,6.2,45,"France, Italy"
Preparations to Be Together for an Unknown Period of Time,Felkészülés meghatározatlan ideig tartó együttlétre,1000000,Drama,hu,"English, Hungarian",,"Márta, a 40-year-old neurosurgeon, falls in love. She leaves her shining American career behind and returns to Budapest to start a new life with the man she loves. But she waits for him at the Liberty Bridge in vain - he does not appear at their rendezvous. Márta starts to search for him desperately, but when she finally finds him, the love of her life claims that they have never met before.",5.53,95,117368,2020-09-24,6.2,32,Hungary
Your Name Engraved Herein,刻在你心底的名字,0,"Romance, Drama",zh,"Mandarin, English",,"In 1987, as martial law ends in Taiwan, Jia-han and Birdy fall in love amid family pressure, homophobia and social stigma.",21.398,114,0,2020-09-30,7.9,241,"Taiwan, United States of America"
Sylvie's Love,Sylvie's Love,0,"Romance, Drama",en,English,https://www.amazon.com/dp/B08L49K11S,"When a young woman meets an aspiring saxophonist in her father’s record shop in 1950s Harlem, their love ignites a sweeping romance that transcends changing times, geography, and professional success.",9.709,114,0,2020-01-27,6.29,88,United States of America
"ariana grande: excuse me, i love you","ariana grande: excuse me, i love you",0,"Music, Documentary",en,English,https://www.netflix.com/title/81238721,Ariana Grande takes the stage in London for her Sweetener World Tour and shares a behind-the-scenes look at her life in rehearsal and on the road.,14.472,97,0,2020-12-21,8.1,348,United States of America
Museum Town,Museum Town,0,Documentary,en,English,https://www.museumtownmovie.com/,A rural American town suffering economically from factory closures finds an unconventional route to recovery with the help of MASS MoCA.,2.203,75,0,2019-03-10,0.0,0,United States of America
Wild Mountain Thyme,Wild Mountain Thyme,0,"Romance, Drama",en,English,,"Headstrong farmer Rosemary Muldoon has her heart set on winning her neighbour Anthony Reilly's love. The problem is, Anthony seems to have inherited a family curse, and remains oblivious to his beautiful admirer. Stung by his father's plans to sell the family farm to his American nephew, Anthony is jolted into pursuing his dreams.",15.67,102,0,2020-12-11,5.2,162,"Ireland, United Kingdom"
My Psychedelic Love Story,My Psychedelic Love Story,0,Documentary,en,English,https://www.sho.com/titles/3497302/my-psychedelic-love-story,An examination of the notorious high priest of LSD Timothy Leary through the eyes of his famed lover Joanna Harcourt-Smith.,1.76,107,0,2020-10-22,6.3,7,United States of America
69: The Saga of Danny Hernandez,69: The Saga of Danny Hernandez,0,"Music, Documentary",en,English,https://www.hulu.com/movie/69-the-saga-of-danny-hernandez-345025ec-5022-4cca-a5f7-d3870fce96b3,"Part investigative documentary, part real-life gangster movie, this film unpacks the life of polarizing rap sensation and internet troll Tekashi69, aka 69, while chronicling his meteoric rise and fall from fame.",1.604,101,0,2021-04-29,6.0,12,United States of America
Ammonite,Ammonite,0,"Romance, Drama",en,English,https://www.ammonite-movie.com,"In 1840s England, palaeontologist Mary Anning and a young woman sent by her husband to convalesce by the sea develop an intense relationship. Despite the chasm between their social spheres and personalities, Mary and Charlotte discover they can each offer what the other has been searching for: the realisation that they are not alone. It is the beginning of a passionate and all-consuming love affair that will defy all social bounds and alter the course of both lives irrevocably.",21.734,118,1396905,2020-11-13,7.001,546,United Kingdom
Love and Monsters,Love and Monsters,30000000,"Comedy, Action, Adventure, Science Fiction",en,English,https://www.paramountmovies.com/movies/love-and-monsters,"Seven years since the Monsterpocalypse began, Joel Dawson has been living underground in order to survive. But after reconnecting over radio with his high school girlfriend Aimee, Joel decides to venture out to reunite with her, despite all the dangerous monsters that stand in his way.",34.299,109,1122066,2020-10-16,7.31,3901,United States of America
Dick Johnson Is Dead,Dick Johnson Is Dead,0,Documentary,en,English,https://www.netflix.com/title/80234465,"With this inventive portrait, director Kirsten Johnson seeks a way to keep her 86-year-old father alive forever. Utilizing moviemaking magic and her family’s dark humor, she celebrates Dr. Dick Johnson’s last years by staging fantasies of death and beyond. Together, dad and daughter confront the great inevitability awaiting us all.",7.132,89,0,2020-01-23,7.2,124,United States of America
"Love, Guaranteed","Love, Guaranteed",0,"Romance, Comedy",en,English,https://www.netflix.com/title/81076898,A lawyer takes on a new client that wants to sue a dating website because it guarantees love.,16.112,91,0,2020-09-02,6.403,632,United States of America
Feel the Beat,Feel the Beat,0,"Comedy, Music, Drama",en,"English, Turkish",https://www.netflix.com/title/80994878,"After failing to make it on Broadway, April returns to her hometown and reluctantly begins training a misfit group of young dancers for a competition.",20.323,107,0,2020-06-19,7.587,1091,"Canada, United States of America"
Babyteeth,Babyteeth,0,"Drama, Comedy, Romance",en,English,http://babyteeth.movie,A terminally ill teen upsets her parents when she falls in love with a small-time drug dealer.,13.807,118,989310,2020-06-15,6.8,329,Australia
Spelling the Dream,Spelling the Dream,0,Documentary,en,English,https://www.netflix.com/title/81069312,"Since 1999, 18 of the last 22 winners of the Scripps National Spelling Bee have been Indian-American, making the incredible trend one of the longest in sports history. “Breaking the Bee” is a feature-length documentary that explores and celebrates this new dynasty while following four students, ages 7 to 14, as they vie for the title of spelling bee champion.",0.786,82,0,2020-06-03,7.0,12,United States of America
A Secret Love,A Secret Love,0,Documentary,en,English,https://www.netflix.com/title/80209024,"Amid shifting times, two women kept their decades-long love a secret. But coming out later in life comes with its own set of challenges.",7.536,83,0,2020-04-29,7.3,116,United States of America
Love Wedding Repeat,Love Wedding Repeat,0,"Comedy, Romance",en,"English, Italian",https://www.netflix.com/title/80227754,"While trying to make his sister's wedding day go smoothly, Jack finds himself juggling an angry ex-girlfriend, an uninvited guest with a secret, a misplaced sleep sedative, and the girl that got away in alternate versions of the same day.",9.942,100,0,2020-04-10,5.6,688,"United Kingdom, Italy"
"Comrades, Almost a Love Story",甜蜜蜜,0,"Drama, Romance",cn,"Cantonese, Mandarin, English",,"Jun arrives in Hong Kong from mainland China, hoping to be able to earn enough money to marry his girlfriend back home. He meets the streetwise Qiao and they become friends. As friendship turns into love, problems develop, and although they seem meant for each other they somehow keep missing out.",18.159,116,0,1996-11-02,7.8,136,Hong Kong
Hope Gap,Hope Gap,0,Drama,en,English,https://www.originpictures.co.uk/hope-gap,"Grace lives an idyllic life in a British seaside town, but her world soon comes crashing down when her husband of 29 years tells her he's leaving her for another woman. Through stages of shock, disbelief and anger -- and with support from her son -- Grace ultimately regains her footing while learning it's never too late to be happy.",15.818,100,1136167,2019-10-03,6.3,121,United Kingdom
All the Bright Places,All the Bright Places,0,"Romance, Drama",en,English,https://www.netflix.com/title/80208802,Two teens facing personal struggles form a powerful bond as they embark on a cathartic journey chronicling the wonders of Indiana.,27.443,108,0,2020-02-28,7.7,2798,United States of America
The Photograph,The Photograph,16000000,"Drama, Romance",en,English,https://www.thephotographmovie.com/,"When famed photographer Christina Eames dies unexpectedly, she leaves her estranged daughter, Mae, hurt, angry and full of questions. When Mae finds a photograph tucked away in a safe-deposit box, she soon finds herself delving into her mother's early life -- an investigation that leads to an unexpected romance with a rising journalist.",27.462,106,20690779,2020-02-14,6.5,201,"Canada, United States of America"
You Go To My Head,You Go To My Head,0,"Drama, Mystery, Romance, Thriller",fr,"French, English",http://yougotomyhead.com/,"Following a mysterious car accident in the desert, Dafne suffers from post-traumatic amnesia. Jake, the first person she sees when she regains consciousness, tells her he's her husband.",2.146,116,0,2017-10-26,6.5,11,"Belgium, France, Germany"
Ordinary Love,Ordinary Love,0,"Drama, Romance",en,English,https://bleeckerstreetmedia.com/ordinary-love-film,An extraordinary look at the lives of a middle-aged couple in the midst of the wife's breast cancer diagnosis.,15.094,92,0,2019-12-06,6.9,132,"Ireland, United Kingdom"
To All the Boys: P.S. I Still Love You,To All the Boys: P.S. I Still Love You,0,"Romance, Comedy",en,English,https://www.netflix.com/title/81030842,Lara Jean and Peter have just taken their romance from pretend to officially real when another recipient of one of her love letters enters the picture.,23.557,102,0,2020-02-03,6.8,2477,United States of America
The Woman Who Loves Giraffes,The Woman Who Loves Giraffes,0,Documentary,en,,,"Dr. Anne Innis Dagg re-traces the steps of her groundbreaking 1956 journey to South Africa to study giraffes in the wild. Now, at 85 years old, Anne sees a startling contrast between the world of giraffes she once knew and the one it has become. Weaving through the past and present, her harrowing journey gives us an intimate look into the factors that destroyed her career and the forces that brought her back.",2.115,81,0,2018-10-03,6.688,16,"Canada, South Africa, United States of America"
Emmanuelle: Queen of Sados,Η Μαύρη Εμμανουέλα,0,"Crime, Drama, Thriller",el,"Greek, Italian",,"A woman struggles to keep her stepdaughter from harms way after she hires an assassin to kill her husband, but the hitman turns and blackmails her for the crime.",64.192,91,0,1980-02-01,6.1,79,"Cyprus, Greece"
Marriage Story,Marriage Story,18000000,Drama,en,English,https://www.marriagestorymovie.com,"A stage director and an actress struggle through a grueling, coast-to-coast divorce that pushes them to their personal extremes.",24.33,137,2300000,2019-09-28,7.744,6760,United Kingdom
"Cyrano, My Love",Edmond,9208475,"Comedy, History",fr,"French, Russian",http://roadsideattractions.com/filmography/cyranomylove,"Paris, France, December 1897. The young playwright Edmond Rostand feels like a failure. Inspiration has abandoned him. Married and father of two children, desperate and penniless, he persuades the great actor Constant Coquelin to perform the main role in his new play. But there is a problem: Coquelin wants to premiere it at Christmas and Edmond has not written a single word.",13.599,113,0,2018-11-10,7.507,486,"Belgium, France"
Pretenders,Pretenders,0,Drama,en,English,,"A love triangle involving a photographer, a director and an actress.",5.296,95,0,2019-09-27,5.6,13,United States of America
First Love,First Love,0,"Romance, Drama",en,"English, Portuguese",,"A young man’s difficult entry into adulthood, who experiences the highs and lows of his first love, while dealing with the familial fallout spurred by the financial crisis of 2008.",17.681,95,0,2022-06-17,5.649,124,United States of America
Loro,Loro,0,Drama,it,Italian,,"Internationally released Director's Cut of ""Loro 1"" and ""Loro 2"", which were released separately as two movies in Italy. The film talks about the group of businessmen and politicians – the Loro (Them) from the title – who live and act near to media tycoon and politician Silvio Berlusconi in the years between 2006 and 2009.",15.644,157,0,2018-09-13,6.7,279,"France, Italy"
Falling Inn Love,Falling Inn Love,0,"Romance, Comedy",en,English,https://www.netflix.com/title/80999781,"When a San Francisco exec wins a New Zealand inn, she ditches city life to remodel and flip the rustic property with help from a handsome contractor.",15.771,98,0,2019-08-29,6.524,1129,United States of America
Hot Air,Hot Air,0,Drama,en,English,,A right-wing talk show host's life takes a sudden turn when his 16-year-old niece comes crashing into his life.,5.834,99,0,2018-04-10,5.1,18,United States of America
"Love, Antosha","Love, Antosha",0,Documentary,en,"English, Russian",https://antonyelchindoc.com/,"From a prolific career in film and television, Anton Yelchin left an indelible legacy as an actor. Through his journals and other writings, his photography, the original music he wrote, and interviews with his family, friends, and colleagues, this film looks not just at Anton's impressive career, but at a broader portrait of the man.",14.875,92,0,2019-08-02,7.2,50,United States of America
Summer,Leto,0,"Family, Drama, TV Movie",sh,Serbo-Croatian,,,4.457,80,0,1988-01-01,0.0,0,Yugoslavia
The Tomorrow Man,The Tomorrow Man,0,"Drama, Romance",en,English,https://bleeckerstreetmedia.com/thetomorrowman,"Ed Hemsler spends his life preparing for a disaster that may never come. Ronnie Meisner spends her life shopping for things she may never use. In a small town somewhere in America, these two people will try to find love while trying not to get lost in each other’s stuff.",6.153,94,0,2019-05-22,5.746,59,United States of America
Asako I & II,寝ても覚めても,0,"Drama, Romance",ja,"Japanese, English",http://www.netemosametemo.jp/,"College student Asako falls in love at first sight with Baku after meeting at a photography exhibit. Romance sparks between the two but doesn't last long when Baku suddenly disappears from her life. Two years later, she spots a man that bears a striking resemblance to him. Even though it is only his physical similarities to Baku that attracted her to him, she doesn't say so and starts dating the soft-spoken young man called Ryohei.",11.594,119,0,2018-09-01,6.8,166,Japan
The Sun Is Also a Star,The Sun Is Also a Star,9000000,"Romance, Drama",en,English,https://www.thesunisalsoastarmovie.com,"Two young New Yorkers begin to fall in love over the course of a single day, as a series of potentially life-altering meetings loom over their heads - hers concerning her family’s deportation to Jamaica, and his concerning an education at Dartmouth.",11.397,100,6800000,2019-05-16,7.0,569,United States of America
Shéhérazade,Shéhérazade,0,"Drama, Thriller, Romance",fr,French,,"Zachary, 17 years old, gets out of jail. Rejected by his mother, he hangs out in the mean streets of Marseille. He falls in love with Shéhérazade, a young prostitute of whom he becomes the pimp without realizing it...",8.05,106,0,2018-09-05,7.2,246,France
Long Shot,Long Shot,40000000,"Comedy, Romance",en,"French, English, Swedish",https://longshot.movie,"Journalist Fred Flarsky reunites with his childhood crush, Charlotte Field, now one of the most influential women in the world. As she prepares to make a run for the Presidency, Charlotte hires Fred as her speechwriter — much to the dismay of her trusted advisers.",27.061,125,0,2019-05-02,6.7,2585,United States of America
Clara,Clara,0,"Science Fiction, Drama, Romance",en,"Spanish, English",,An astronomer becomes obsessed with searching the cosmos for signs of life beyond Earth which leads to a shocking discovery.,11.177,106,0,2018-11-30,7.543,199,Canada
Kalank,कलंक,0,"Drama, Romance",hi,Hindi,,"Set in 1945, in Pre-Independent India, the elite, opulent and solemn world of the Chaudhry family, and the wild, mysterious and musical underbelly of the town, Hira Mandi, clash when Roop Chaudhry encounters Zafar, a daredevil from Hira Mandi, unleashing deep-buried truths, secrets of betrayal and affairs that threaten to bring both worlds crashing down.",14.821,166,0,2019-04-17,5.63,50,India
Rafiki,Rafiki,0,"Drama, Romance",sw,"Swahili, English",http://www.mpmfilm.com/rafiki-2/,"Kena and Ziki long for something more. Despite the political rivalry between their families, the girls resist and remain close friends, supporting each other to pursue their dreams in a conservative society. When love blossoms between them, the two girls will be forced to choose between happiness and safety.",8.699,82,181316,2018-09-26,7.0,136,"Kenya, South Africa"
Diane,Diane,0,Drama,en,English,,"Diane is a devoted friend and caretaker, particularly to her drug-addicted son. But as those around her begin to drift away in the last quarter of her life, she is left to reckon with past choices and long-dormant memories.",8.333,96,0,2019-03-28,6.2,35,United States of America
Five Feet Apart,Five Feet Apart,7000000,"Romance, Drama",en,"English, French, Spanish",,"Seventeen-year-old Stella spends most of her time in the hospital as a cystic fibrosis patient. Her life is full of routines, boundaries and self-control — all of which get put to the test when she meets Will, an impossibly charming teen who has the same illness. There's an instant flirtation, though restrictions dictate that they must maintain a safe distance between them. As their connection intensifies, so does the temptation to throw the rules out the window and embrace that attraction.",37.266,116,92600000,2019-03-14,8.268,5461,United States of America
Ash Is Purest White,江湖儿女,0,"Crime, Romance, Drama",zh,Mandarin,,"Set in China's underworld, this tale of love and betrayal follows a dancer who fired a gun to protect her mobster boyfriend during a fight. On release from prison 5 years later, she sets out to find him.",12.254,141,0,2018-09-21,6.9,299,"France, Japan, China"
Gloria Bell,Gloria Bell,0,"Drama, Romance",en,English,https://a24films.com/films/gloria-bell,"Gloria is a free-spirited divorcée who spends her days at a straight-laced office job and her nights on the dance floor, joyfully letting loose at clubs around Los Angeles. After meeting Arnold on a night out, she finds herself thrust into an unexpected new romance, filled with both the joys of budding love and the complications of dating, identity, and family.",17.156,102,11145006,2019-03-07,6.0,305,"Chile, United States of America"
Black Mother,Black Mother,0,Documentary,en,English,https://dogwoof.com/blackmother,"Part film, part baptism, in BLACK MOTHER director Khalik Allah brings us on a spiritual journey through Jamaica. Soaking up its bustling metropolises and tranquil countryside, Allah introduces us to a succession of vividly rendered souls who call this island home. Their candid testimonies create a polyphonic symphony, set against a visual prayer of indelible portraiture. Thoroughly immersed between the sacred and profane, BLACK MOTHER channels rebellion and reverence into a deeply personal ode informed by Jamaica’s turbulent history but existing in the urgent present.",2.341,77,0,2018-11-02,6.6,15,United States of America
The Hole in the Ground,The Hole in the Ground,0,Horror,en,English,,"Trying to escape her broken past, Sarah O’Neill is building a new life on the fringes of a backwood rural town with her young son Chris. A terrifying encounter with a mysterious neighbour shatters her fragile security, throwing Sarah into a spiralling nightmare of paranoia and mistrust, as she tries to uncover if the disturbing changes in her little boy are connected to an ominous sinkhole buried deep in the forest that borders their home.",19.125,90,3373474,2019-03-01,5.6,657,"Belgium, Finland, Ireland, United Kingdom"
How to Train Your Dragon: The Hidden World,How to Train Your Dragon: The Hidden World,129000000,"Animation, Family, Adventure",en,English,https://www.howtotrainyourdragon.com/,"As Hiccup fulfills his dream of creating a peaceful dragon utopia, Toothless’ discovery of an untamed, elusive mate draws the Night Fury away. When danger mounts at home and Hiccup’s reign as village chief is tested, both dragon and rider must make impossible decisions to save their kind.",75.887,104,524580592,2019-01-03,7.751,6166,United States of America
A Tuba To Cuba,A Tuba To Cuba,0,"Documentary, Music, History",en,English,https://www.atubatocuba.com/,"A son seeking to fulfill his late father’s dream takes his band from the storied city of New Orleans to the shores of Cuba, where — through the universal language of music — dark and ancient connections between their peoples reveal the roots of jazz.",1.081,82,0,2019-02-15,6.6,8,"Cuba, United States of America"
Fighting with My Family,Fighting with My Family,11000000,Comedy,en,English,https://www.fightingwithmyfamily.movie/home,"Born into a tight-knit wrestling family, Paige and her brother Zak are ecstatic when they get the once-in-a-lifetime opportunity to try out for the WWE. But when only Paige earns a spot in the competitive training program, she must leave her loved ones behind and face this new cutthroat world alone. Paige's journey pushes her to dig deep and ultimately prove to the world that what makes her different is the very thing that can make her a star.",25.911,108,39055536,2019-02-14,6.861,1638,"United Kingdom, United States of America"
Sorry Angel,"Plaire, aimer et courir vite",0,"Comedy, Drama, Romance",fr,"French, Spanish",,Jacques is a writer living in Paris. He hasn't turned 40 but already mistrusts that the best in life is yet to come. Arthur is a student living in Brittany. He reads and smiles a lot and refuses to think that everything in life might not be possible. Jacques and Arthur will like each other. Just like in a lovely dream. Just like in a sad story.,110.741,132,1631910,2018-05-09,6.8,212,France
"Berlin, I Love You","Berlin, I Love You",0,Drama,en,"English, German",,An anthology feature of 10 stories of romance set in the German capital.,8.84,120,160000,2019-02-08,4.6,79,"Germany, United States of America"
Untogether,Untogether,0,"Comedy, Drama",en,English,,"Once considered a teen prodigy, a recovering addict sobers up and tries to get her writing career back on track. She begins a relationship with a rising author known for his wartime memoirs.",9.467,98,0,2019-02-08,5.5,43,United States of America
Cold War,Zimna wojna,4954500,"Drama, Romance, War, Music",pl,"German, Croatian, French, Italian, Polish, Russian",https://www.curzonartificialeye.com/cold-war,"A man and a woman meet in the ruins of post-war Poland. With vastly different backgrounds and temperaments, they are fatally mismatched and yet drawn to each other.",23.056,88,18754051,2018-06-08,7.454,1432,"France, Poland, United Kingdom"
If Beale Street Could Talk,If Beale Street Could Talk,12000000,"Romance, Drama",en,English,http://www.bealestreet.movie,"After her fiance is falsely imprisoned, a pregnant African-American woman sets out to clear his name and prove his innocence.",9.393,120,20572691,2018-12-14,6.945,1093,United States of America
Asher,Asher,0,"Thriller, Action, Drama",en,English,,"Asher is a former Mossad agent turned gun for hire, living an austere life in an ever-changing Brooklyn. Approaching the end of his career, he breaks the oath he took as a young man when he meets Sophie on a hit gone wrong. In order to have love in his life before it's too late, he must kill the man he was, for a chance at becoming the man he wants to be.",16.81,117,0,2018-12-07,5.779,138,United States of America
The Party's Just Beginning,The Party's Just Beginning,0,"Drama, Comedy",en,English,,"In a bleak Inverness midwinter, Luisaidh is careening off the rails after the suicide of her best friend. She medicates her misery with joyless sex, chips and a belief in the power of positive drinking. Surrounded by bittersweet memories, she struggles to find someone to talk to or some reason to make life worthwhile at the most stressful time of the year.",5.824,91,0,2018-12-07,6.236,53,"United Kingdom, United States of America"
The Great Pretenders,千王,0,Comedy,zh,Cantonese,,The Great Pretenders is a Hong Kong Comedy starring Tony Leung Chiu-Wai,3.199,95,0,1991-05-16,5.0,4,Hong Kong
Sicilian Ghost Story,Sicilian Ghost Story,0,"Mystery, Drama, Fantasy",it,Italian,,"In a little Sicilian village at the edge of a forest, Giuseppe, a boy of 13, vanishes. Luna, his classmate who loves him, refuses to accept his mysterious disappearance. She rebels against the silence and complicity that surround her, and to find him she descends into the dark world which has swallowed him up and which has a lake as its mysterious entrance.",5.896,122,0,2017-11-18,6.6,137,"France, Italy, Switzerland"
The New Romantic,The New Romantic,0,"Drama, Comedy",en,English,,"In order to escape her looming post-graduation fate that includes student debt and zero romantic prospects, Blake Conway becomes a sugar baby. As the aspiring journalist and hopeless romantic documents the adventure, she sets out on a quest to figure out if society is right to judge these women and if her own self worth comes with a price.",9.235,82,0,2018-10-19,6.3,108,Canada
Pimp,Pimp,0,Drama,en,English,,"An urban love story set on the hard streets of the Bronx. A struggling female pimp, named Wednesday, grows up learning the game from her dad. Once he's gone she's left to look out for her prostitute mother and girlfriend Nikki.",7.405,86,0,2018-11-09,6.3,29,United States of America
In a Relationship,In a Relationship,0,"Drama, Comedy, Romance",en,English,,"Long-term couple Owen and Hallie are breaking up—or maybe not?—and just as their relationship reaches a turning point, Matt and Willa embark on a romance of their own.",7.991,92,0,2018-11-09,5.8,103,"Mexico, United States of America"
How to Talk to Girls at Parties,How to Talk to Girls at Parties,0,"Comedy, Music, Romance, Science Fiction",en,English,https://a24films.com/films/how-to-talk-to-girls-at-parties,"In 1970s London, a teenage outsider named Enn falls in love with a rebellious alien girl named Zan, who has come to Earth for a party. Together, they navigate the complexities of intergalactic culture and the trials of first love.",9.26,103,0,2017-10-06,5.991,369,"United Kingdom, United States of America"
Godard Mon Amour,Le Redoutable,12840746,"Drama, Romance, Comedy",fr,"Czech, French, English, Italian",,"In 1967, during the making of “La Chinoise,” film director Jean-Luc Godard falls in love with 19-year-old actress Anne Wiazemsky and marries her.",18.926,108,82264,2017-06-24,6.7,343,"Myanmar, France"
Outside In,Outside In,0,Drama,en,English,,An ex-con struggling to readjust to life in his small town forms an intense bond with his former high-school teacher.,10.199,109,0,2018-03-30,6.106,94,United States of America
The Party,The Party,1500000,Comedy,en,English,,"Hrundi V. Bakshi, an accident-prone actor from India, is accidentally put on the guest list for an upcoming party at the home of a Hollywood film producer. Unfortunately, from the moment he arrives, one thing after another goes wrong with compounding effect.",16.573,99,2900000,1968-04-04,7.291,727,United States of America
Lover for a Day,L'Amant d'un jour,0,"Drama, Romance",fr,French,,"After a bad breakup, a college-aged Parisian moves into her father's flat only to discover that he is living with his new girlfriend - a young woman her age.",5.79,76,23692,2017-05-31,6.203,74,France
God's Own Country,God's Own Country,0,"Romance, Drama",en,"English, Romanian",http://www.godsowncountryfilm.com,"A young farmer in rural Yorkshire numbs his daily frustrations with binge drinking and casual sex, until the arrival of a Romanian migrant worker.",16.764,105,2559939,2017-08-31,7.8,876,United Kingdom
The Mountain Between Us,The Mountain Between Us,35000000,"Drama, Adventure, Romance",en,English,http://MountainBetweenUs.com,"Stranded on a mountain after a tragic plane crash, two strangers must work together to endure the extreme elements of the remote, snow-covered terrain. When they realize help is not coming, they embark on a perilous journey across hundreds of miles of wilderness, pushing each other to survive and discovering their inner strength.",31.206,109,62832209,2017-10-05,6.653,2299,United States of America
In Search of Fellini,In Search of Fellini,0,"Drama, Adventure",en,English,,"Lucy, a small-town girl from Ohio, discovers the delightfully bizarre films of legendary filmmaker Federico Fellini and sets off on a journey across Italy to find him.",5.107,93,0,2017-09-15,5.8,40,
The Last Face,The Last Face,0,Drama,en,"English, Portuguese",,"Miguel, a heroic Spanish doctor, puts himself in harm's way to deliver medical treatment to the victims of military uprisings in Africa.",7.49,130,0,2017-01-11,5.6,193,United States of America
Lost in Paris,Paris pieds nus,0,Comedy,fr,French,,"Fiona visits Paris for the first time to assist her myopic Aunt Martha. Catastrophes ensue, mainly involving Dom, a homeless man who has yet to have an emotion or thought he was afraid of expressing.",6.823,83,0,2017-01-14,6.0,114,"Belgium, France"
The Other Half,The Other Half,0,"Drama, Romance",en,English,http://theotherhalfmovie.com/,A grief-stricken man and a bipolar woman fall in love and attempt to forge a simple life together.,2.871,103,0,2016-12-02,6.3,24,Canada
The Ottoman Lieutenant,The Ottoman Lieutenant,40000000,"Romance, Drama, War",en,"Turkish, English",https://www.uphe.com/movies/the-ottoman-lieutenant,"Lillie, a determined American woman, ventures overseas to join Dr. Jude at a remote medical mission in the Ottoman Empire (now Turkey). However, Lillie soon finds herself at odds with Jude and the mission’s founder, Woodruff, when she falls for the titular military man, Ismail, just as the war is about to erupt.",16.901,111,413844,2017-03-10,6.169,246,"Turkey, United States of America"
